1	But there's this secret between us, and we can never be the same until it is cleared.	Però hi ha un secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Però hi ha aquest secret entre nosaltres, i mai no podrem ser el mateix fins que no s'hagi aclarit.	Correcte. Determinant (*un/aquest). Postedició mínima.
2	Have seen the face again at the window.	- he tornat a veure la cara a la finestra.	He tornat a veure la cara a la finestra.	Correcte.
3	How long is it since your wife asked you for a hundred pounds?	- quant de temps fa que la teva dona et va demanar cent lliures?	Quant de temps fa que la vostra dona us va demanar cent lliures?	Correcte.
4	As we looked, we saw a dark blur moving across the blind.	Mentre miràvem, vam veure una taca fosca que es movia entre els cecs.	Mentre miràvem, vam veure una taca fosca que es movia a través del cortinatge.	Lèxic (blind > *cec > persiana/cortinatge). Preposició (across > ?entre > a través de/per). Postedició mínima.
5	It has been a standing jest in the family that nothing could ever wake me during the night.	Ha estat una broma de peu dret a la família que res no em podria despertar durant la nit.	Ha estat una broma a la família que res no em podria despertar durant la nit.	Lèxic (standing > ?de peu dret > costant). Postedició mínima.
6	It is often so in such matches, and little Lucy is darker far than ever her father was.	Sovint és així en aquests llumins, i la petita Lucy és més fosca que mai.	Sovint és així, en aquestes unions, i la petita Lucy és més fosca que mai ho fou el seu pare.	Lèxic (matches > *llumins > unions). Construcció complicada. Postedició poca.
7	Having no success, she goes again next morning, and her husband meets her, as he has told us, as she comes out.	Com que no té èxit, se'n torna l'endemà al matí i el seu marit la troba, tal com ens ha dit, quan surt.	No tenint èxit, hi torna l'endemà al matí, i el seu marit se la troba, tal com ell ens ha dit, mentre ella surt.	Correcte. Pèrdua d’informació de persona. Postedició mínima.
8	Then suddenly, with a fierce gesture of his closed hand, like one who throws reserve to the winds, he began.	Llavors, de sobte, amb un gest ferotge de la mà tancada, com qui llança reserva als vents, va començar.	Després, de sobte, amb un gest ferotge amb la mà tancada, com qui agafa el bou per les banyes, va començar.	Preposició (*de/amb). Frase feta. Postedició moderada.
9	Three days later, however, the nurse and child only just escaped from the back door as you rushed in at the front one.	Al cap de tres dies, però, la infermera i la nena tot just acabaven d'escapar-se de la porta del darrere quan vostè va entrar corrents al davant.	Al cap de tres dies, però, la infermera i la nena tot just acabaven d’escapar-se per la porta del darrere quan vós entràreu corrents per la del davant.	Preposició (*de/per). Postedició poca.
10	Then, thinking that I was still asleep, she slipped noiselessly from the room, and an instant later I heard a sharp creaking which could only come from the hinges of the front door.	Llavors, pensant que encara dormia, es va esmunyir sense fer soroll de l'habitació, i al cap d'un moment vaig sentir un cruixit agut que només podia sortir de les frontisses de la porta d'entrada.	Després, pensant que jo encara dormia, ella es va esmunyir sense fer soroll de l'habitació, i al cap d'un moment vaig sentir un cruixit agut que només podia venir de les frontisses de la porta d'entrada.	Correcte. Pèrdua d’informació de persona. Postedició mínima.
11	I really think that I should have fainted if I had not gone out.	Realment penso que m'hauria d'haver desmaiat si no hagués sortit.	De debò que crec que m'hauria desmaiat si no hagués sortit.	Traducció literal > perífrasi d’obligatorietat errònia. Postedició mínima.
12	When we married, my wife made over all her property to me—rather against my will, for I saw how awkward it would be if my business affairs went wrong.	Quan ens vam casar, la meva dona em va fer totes les seves propietats, més aviat en contra de la meva voluntat, perquè vaig veure que seria molt difícil que els meus assumptes de negocis anessin malament.	Quan ens vam casar, la meva dona em transferí tota la seva propietat, més aviat en contra de la meva voluntat, perquè vaig veure com seria d’incòmode que els meus assumptes de negocis anessin malament.	Phrasal verb (make over). Lèxic (awkward > *difícil > incòmode/estrany). Postedició poca.
13	Well, I think that you are in the right.	- bé, crec que tens raó.	Bé, crec que teniu raó.	Correcte.
14	But if I am not mistaken I hear him upon the stair, so we shall have something more interesting than his pipe to study.	Però si no m'equivoco, el sento a l'escala, o sigui que tindrem alguna cosa més interessant que la seva pipa per estudiar.	Però si no m'equivoco sento que ha pujat per l’escala, així tindrem alguna cosa més interessant que la seva pipa per estudiar.	Correcte. Pèrdua d’informació de manera i de direcció de moviment. Pèrdua de modalitat de possibilitat (shall). Postedició mínima.
15	He held it up and tapped on it with his long, thin fore-finger, as a professor might who was lecturing on a bone.	El va aixecar i hi va donar uns copets amb el dit del davant, llarg i prim, com un professor que fes classe en un os.	La va aixecar i hi va donar uns copets amb el dit índex, llarg i prim, com faria un professor que impartís classe sobre un os.	Lèxic (fore-finger > ?dit del davant > dit índex). Comparativa introduïda per «as». Postedició poca.
16	My friend threw out the information in a very offhand way, but I saw that he cocked his eye at me to see if I had followed his reasoning.	El meu amic va llençar la informació d'una manera molt brusca, però vaig veure que em mirava per veure si havia seguit el seu raonament.	El meu amic va llançar la informació d'una manera molt despreocupada, però vaig veure que em mirava de cantell per veure si jo havia seguit el seu raonament.	Correcte. Lèxic (offhand > *brusca). Frase feta. Postedició moderada.
17	Of course, legally, we are putting ourselves hopelessly in the wrong; but I think that it is worth it.	És clar que, legalment, ens estem equivocant, però crec que val la pena.	És clar que, legalment, ens estem equivocant irremeiablement; però crec que val la pena.	Correcte. Omissió (hopelessly). Postedició mínima.
18	And this not so much for the sake of his reputation—for, indeed, it was when he was at his wits' end that his energy and his versatility were most admirable—but because where he failed it happened too often that no one else succeeded, and that the tale was left forever without a conclusion.	I això no tant pel bé de la seva reputació - perquè, de fet, era quan estava a punt de perdre el seny que la seva energia i la seva versatilitat eren d'allò més admirables -, sinó perquè, allà on fracassava, passava massa sovint que ningú no se'n sortia, i que el relat quedava per sempre sense una conclusió.	I això no tant pel bé de la seva reputació - perquè, de fet, era quan estava a punt de perdre el seny que la seva energia i la seva versatilitat eren d'allò més admirables -, sinó perquè, allà on fracassava, passava massa sovint que ningú no se'n sortia, i que el relat quedava per sempre sense una conclusió.	Correcte.
19	I felt that I should have no peace until I knew, and yet I shrank from asking her again after once she had told me what was false.	Vaig pensar que no hauria de tenir pau fins que no ho sabés, i tot i així em vaig encongir per no tornar-li a preguntar després d'una vegada que m'havia dit què era fals.	Jo sentia que no tindria pau fins que no ho sabés, i tot i així em vaig desdir de tornar-li a preguntar després que m'havia dit una falsedat.	Phrasal verb (shrank from > ?encongir > desdir). Expressió (what was false > «una cosa que era falsa»). Postedició poca.
20	You know that I would not have a secret from you if it were not for your own sake.	Saps que no tindria un secret teu si no fos per tu.	Ja saps que jo no tindria un secret per a tu si no fos pel teu bé.	Segment de sortida té sentit, però amb canvi semàntic. Postedició mínima.
21	Save for the occasional use of cocaine, he had no vices, and he only turned to the drug as a protest against the monotony of existence when cases were scanty and the papers uninteresting.	Tret de l'ús ocasional de la cocaïna, no tenia vicis, i només es girava cap a la droga com a protesta contra la monotonia de l'existència quan els casos eren escassos i els papers no eren interessants.	Tret de l'ús ocasional de la cocaïna, no tenia vicis, i només es girava cap a la droga com a protesta contra la monotonia de l'existència quan els casos eren escassos i els papers no eren interessants.	Correcte.
22	My mind was instantly filled with suspicion.	- la meva ment es va omplir instantàniament de sospites.	La meva ment es va omplir instantàniament de sospita.	Correcte.
